n132_eagleowl_or_b2_v131.htm — EagleOwl_v1 · XAUUSD.p · 7666 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      577  1.51   2.55     112   5.14  152   71 |   188/60    178/61    247/56    -36/49 
goldtrade_H|2195.21        1       20   inf  20.50       0 512.50    1    0 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1859.67      2       20   inf  10.25       0 256.12    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 8|2424.57      2       20   inf  10.24       0 256.00    0    2 |     0/0       0/0       0/0      20/2  
Gold Reaper 8|2398.31      2       20   inf  10.20       0 255.00    0    2 |     0/0       0/0       0/0      20/2  
Gold Reaper 7|2009.92      1       20   inf  20.38       0 509.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.34       0 508.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 8|2339.74      2       20   inf  10.16       0 254.00    1    1 |     0/0       0/0       0/0      20/2  
GoldDaily3|1935.09         1       20   inf  20.31       0 507.75    0    1 |     0/0       0/0      20/1       0/0  
goldtrade_E|2450.11        1       20   inf  20.30       0 507.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1845.53      2       20   inf  10.14       0 253.50    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 3|2685.58      6       20  1.73   3.35      29   0.70    3    3 |     0/0       0/0       0/0      20/6  
GoldDaily1|1782.36         1       20   inf  20.03       0 500.75    1    0 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|2747.72      1       20   inf  19.89       0 497.25    0    1 |     0/0       0/0       0/0      20/1  
DaytradePro_XAUUSD|180     2       20   inf   9.94       0 248.38    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 7|1784.55      2       20   inf   9.93       0 248.25    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 3|2613.45      1       20   inf  19.79       0 494.75    1    0 |     0/0       0/0       0/0      20/1  
GoldbotOne_8|1890.02       1       20   inf  19.79       0 494.75    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1789.45      2       20   inf   9.88       0 247.00    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 8|1934.42      5       20   inf   3.94       0  98.50    5    0 |     0/0       0/0      20/5       0/0  
GoldbotOne_8|1797.86       1       20   inf  19.60       0 490.00    0    1 |    20/1       0/0       0/0       0/0  
GoldDaily3|1754.31         1       20   inf  19.60       0 490.00    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 7|1849.55      1       19   inf  19.44       0 486.00    0    1 |    19/1       0/0       0/0       0/0  
