n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
GoldbotOne_8|2314.73       1       30   inf  30.20       0 755.00    1    0 |     0/0       0/0       0/0      30/1  
Gold Reaper 6|2354.10      5       30 49.37   6.01       1  29.19    0    4 |     0/0       0/0       0/0      30/5  
GoldbotOne_8|2613.45       1       30   inf  30.05       0 751.25    0    1 |     0/0       0/0       0/0      30/1  
Gold Reaper 7|2070.66      3       30   inf   9.99       0 249.67    0    3 |     0/0       0/0      30/3       0/0  
Gold Reaper 6|1820.20      5       30   inf   5.97       0 149.15    0    5 |    30/5       0/0       0/0       0/0  
DaytradePro_XAUUSD|185     4       30 13.12   7.44       3  10.62    0    3 |    30/4       0/0       0/0       0/0  
Gold Reaper 4|1719.23      1       30   inf  29.70       0 742.50    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 6|1818.47      8       30 25.51   3.69       2  17.67    2    5 |    30/8       0/0       0/0       0/0  
Gold Reaper 6|2666.84      5       29 12.65   5.84       3   9.93    0    4 |     0/0       0/0       0/0      29/5  
GoldbotOne_8|2758.45       1       29   inf  29.19       0 729.75    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 7|2332.07      1       29   inf  29.16       0 729.00    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 6|1760.64      5       29   inf   5.82       0 145.40    0    5 |    29/5       0/0       0/0       0/0  
Gold Reaper 4|2352.57      1       29   inf  28.69       0 717.25    1    0 |     0/0       0/0       0/0      29/1  
Gold Reaper 7|1840.66      5       28   inf   5.68       0 142.00    3    2 |     0/0      28/5       0/0       0/0  
Gold Reaper 6|1781.57      2       28   inf  14.14       0 353.50    0    2 |    28/2       0/0       0/0       0/0  
GoldDaily1|2007.54         1       28   inf  28.25       0 706.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 5|2058.21      4       28   inf   7.04       0 175.88    0    4 |     0/0       0/0       0/0      28/4  
Gold Reaper 6|1896.35      5       28 35.65   5.60       1  22.96    0    4 |     0/0       0/0      28/5       0/0  
goldtrade_E|1951.95        2       28   inf  13.96       0 698.00    1    1 |     0/0       0/0      28/2       0/0  
Gold Reaper 7|1914.10      3       28   inf   9.23       0 230.83    0    3 |     0/0      28/3       0/0       0/0  
Gold Reaper 5|1907.58      7       28 25.72   3.95       2  16.25    5    1 |     0/0       0/0      28/7       0/0  
GoldDaily3|2529.04         1       28   inf  27.58       0 689.50    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 7|1805.80      2       27 1383.00  13.74       0 274.80    0    2 |    27/2       0/0       0/0       0/0  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
GoldDaily3|2368.75         1       27   inf  27.35       0 683.75    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 6|2747.72      3       27   inf   9.10       0 227.50    0    3 |     0/0       0/0       0/0      27/3  
Gold Reaper 6|1896.20      5       27   inf   5.44       0 136.00    0    5 |    27/5       0/0       0/0       0/0  
Gold Reaper 7|2018.10      2       27   inf  13.58       0 339.50    0    2 |     0/0       0/0      27/2       0/0  
Gold Reaper 6|1833.35      3       27   inf   8.98       0 224.58    0    3 |     0/0       0/0      27/3       0/0  
Gold Reaper 5|1954.24      4       27   inf   6.71       0 167.62    0    4 |     0/0       0/0      27/4       0/0  
Gold Reaper 5|1809.55      3       27   inf   8.89       0 222.33    0    3 |    27/3       0/0       0/0       0/0  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
GoldDaily1|2004.11         1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
Gold Reaper 5|1963.74      4       26   inf   6.59       0 164.88    0    4 |     0/0       0/0      26/4       0/0  
GoldDaily3|1791.60         2       26   inf  13.13       0 656.75    1    1 |    26/2       0/0       0/0       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
