jeu,mois,net
Gold Reaper 7|1742.55,2021-03,-1.51
Gold Reaper 8|1723.96,2021-03,-3.58
Gold Reaper 4|1723.96,2021-03,-3.72
Gold Reaper 7|1723.96,2021-03,-3.58
Gold Reaper 8|1721.54,2021-03,-2.43
Gold Reaper 7|1721.54,2021-03,15.44
Gold Reaper 4|1719.23,2021-03,29.70
Gold Reaper 8|1719.23,2021-03,7.31
GoldDaily1|1719.23,2021-03,-30.43
GoldbotOne_8|1719.23,2021-03,18.07
GoldDaily3|1719.23,2021-03,22.82
Gold Reaper 4|1699.20,2021-03,-7.88
GoldbotOne_8|1699.20,2021-03,18.77
DaytradePro_XAUUSD|1676.83,2021-03,-0.73
goldtrade_H|1676.83,2021-03,-7.86
Gold Reaper 1|1676.83,2021-03,30.14
Gold Reaper 8|1745.48,2021-04,-31.14
Gold Reaper 4|1745.48,2021-04,-9.55
Gold Reaper 7|1745.48,2021-04,1.66
GoldDaily1|1745.48,2021-04,-12.66
GoldDaily3|1745.48,2021-04,-1.11
goldtrade_D|1755.52,2021-04,-9.54
goldtrade_H|1755.52,2021-04,-3.76
Gold Reaper 3|1755.52,2021-04,-0.30
DaytradePro_XAUUSD|1755.52,2021-04,-0.97
Gold Reaper 4|1755.52,2021-04,-1.98
GoldbotOne_8|1755.52,2021-04,-0.24
Gold Reaper 7|1730.58,2021-04,-2.45
Gold Reaper 8|1731.17,2021-04,-2.61
Gold Reaper 8|1749.35,2021-04,-1.34
Gold Reaper 7|1749.35,2021-04,-0.85
Gold Reaper 1|1758.67,2021-04,25.22
goldtrade_D|1758.67,2021-04,12.68
goldtrade_H|1758.67,2021-04,1.32
goldtrade_E|1758.67,2021-04,4.05
Gold Reaper 3|1758.67,2021-04,7.41
Gold Reaper 8|1758.67,2021-04,7.40
DaytradePro_XAUUSD|1758.67,2021-04,9.63
Gold Reaper 4|1758.67,2021-04,0.77
Gold Reaper 7|1758.67,2021-04,10.10
GoldDaily2|1758.67,2021-04,17.03
GoldDaily3|1758.67,2021-04,21.65
GoldDaily1|1758.67,2021-04,17.13
GoldbotOne_8|1758.67,2021-04,15.88
Gold Reaper 8|1790.05,2021-04,7.51
Gold Reaper 4|1790.05,2021-04,4.46
Gold Reaper 7|1790.05,2021-04,2.15
Gold Reaper 8|1777.40,2021-04,7.54
Gold Reaper 8|1769.98,2021-04,-0.08
Gold Reaper 8|1768.61,2021-04,0.11
Gold Reaper 7|1768.61,2021-04,-0.08
Gold Reaper 4|1763.64,2021-04,-9.08
Gold Reaper 8|1763.64,2021-04,-12.17
Gold Reaper 7|1763.64,2021-04,-15.51
Gold Reaper 8|1785.55,2021-04,0.13
Gold Reaper 7|1785.55,2021-04,-0.09
Gold Reaper 8|1762.59,2021-04,0.12
Gold Reaper 7|1762.59,2021-04,-0.04
Gold Reaper 7|1762.59,2021-05,-9.27
Gold Reaper 8|1789.96,2021-05,7.51
Gold Reaper 4|1789.96,2021-05,-10.34
Gold Reaper 7|1789.96,2021-05,-8.99
Gold Reaper 8|1796.02,2021-05,-4.13
Gold Reaper 1|1797.86,2021-05,-7.08
Gold Reaper 7|1796.02,2021-05,-13.58
goldtrade_D|1797.86,2021-05,-8.93
goldtrade_H|1797.86,2021-05,2.13
