jeu,mois,net
GoldbotOne_8|1758.67,2021-04,15.88
Gold Reaper 6|1790.05,2021-04,5.85
Gold Reaper 5|1790.05,2021-04,6.08
Gold Reaper 4|1790.05,2021-04,4.46
Gold Reaper 7|1790.05,2021-04,2.15
Gold Reaper 5|1777.40,2021-04,6.10
Gold Reaper 5|1769.98,2021-04,0.46
Gold Reaper 6|1768.61,2021-04,0.11
Gold Reaper 7|1768.61,2021-04,0.45
Gold Reaper 5|1768.61,2021-04,0.51
Gold Reaper 4|1763.64,2021-04,-9.08
Gold Reaper 6|1763.64,2021-04,-15.45
Gold Reaper 7|1763.64,2021-04,-15.51
Gold Reaper 5|1763.64,2021-04,-14.65
Gold Reaper 5|1785.55,2021-04,0.13
Gold Reaper 6|1785.55,2021-04,0.51
Gold Reaper 7|1785.55,2021-04,1.65
Gold Reaper 7|1762.59,2021-04,-0.04
Gold Reaper 7|1762.59,2021-05,-9.27
Gold Reaper 5|1762.59,2021-04,6.11
Gold Reaper 6|1789.96,2021-05,5.81
Gold Reaper 5|1789.96,2021-05,6.04
Gold Reaper 4|1789.96,2021-05,-10.34
Gold Reaper 7|1789.96,2021-05,-0.33
Gold Reaper 6|1796.02,2021-05,-30.38
Gold Reaper 7|1796.02,2021-05,-0.69
goldtrade_D|1797.86,2021-05,-8.43
goldtrade_H|1797.86,2021-05,-6.65
goldtrade_E|1797.86,2021-05,4.65
DaytradePro_XAUUSD|1797.86,2021-05,2.13
Gold Reaper 4|1797.86,2021-05,-8.93
Gold Reaper 5|1797.90,2021-05,-0.74
GoldDaily3|1797.86,2021-05,-0.32
GoldbotOne_8|1797.86,2021-05,-0.66
Gold Reaper 6|1799.16,2021-05,5.88
Gold Reaper 5|1799.16,2021-05,5.99
Gold Reaper 7|1799.16,2021-05,9.86
Gold Reaper 4|1799.16,2021-05,34.57
goldtrade_D|1816.01,2021-05,20.14
DaytradePro_XAUUSD|1816.01,2021-05,2.54
GoldDaily3|1816.01,2021-05,4.69
GoldbotOne_8|1816.01,2021-05,2.36
Gold Reaper 5|1843.34,2021-05,-27.16
Gold Reaper 7|1843.34,2021-05,0.47
Gold Reaper 6|1818.06,2021-05,-1.34
Gold Reaper 7|1818.06,2021-05,2.70
Gold Reaper 5|1818.06,2021-05,1.56
Gold Reaper 6|1843.65,2021-05,8.70
Gold Reaper 5|1843.65,2021-05,9.95
Gold Reaper 7|1843.65,2021-05,13.16
goldtrade_D|1845.53,2021-05,-1.19
goldtrade_H|1845.53,2021-05,-1.19
goldtrade_E|1845.53,2021-05,-1.50
DaytradePro_XAUUSD|1845.53,2021-05,0.55
Gold Reaper 5|1845.53,2021-05,-8.70
Gold Reaper 6|1845.53,2021-05,13.70
Gold Reaper 4|1845.53,2021-05,0.55
Gold Reaper 7|1845.53,2021-05,5.54
GoldDaily3|1845.53,2021-05,-8.67
GoldDaily1|1845.53,2021-05,13.70
GoldDaily2|1845.53,2021-05,0.55
goldtrade_D|1855.37,2021-05,1.43
DaytradePro_XAUUSD|1855.37,2021-05,3.15
GoldbotOne_8|1855.37,2021-05,21.91
goldtrade_D|1875.62,2021-05,-8.49
DaytradePro_XAUUSD|1875.62,2021-05,-16.90
Gold Reaper 5|1875.03,2021-05,-2.83
Gold Reaper 7|1875.03,2021-05,-3.29
GoldDaily3|1875.62,2021-05,-14.66
GoldbotOne_8|1875.62,2021-05,-0.13
Gold Reaper 6|1890.02,2021-05,-6.08
Gold Reaper 5|1890.02,2021-05,-9.14
goldtrade_D|1890.02,2021-05,13.97
goldtrade_H|1890.02,2021-05,0.09
goldtrade_E|1890.02,2021-05,1.78
Gold Reaper 5|1889.45,2021-05,6.41
Gold Reaper 6|1889.45,2021-05,6.14
DaytradePro_XAUUSD|1890.02,2021-05,1.24
Gold Reaper 4|1890.02,2021-05,0.09
Gold Reaper 7|1890.02,2021-05,8.29
GoldDaily2|1890.02,2021-05,8.21
GoldDaily3|1890.02,2021-05,6.22
GoldDaily1|1890.02,2021-05,-0.04
GoldDaily1|1890.02,2021-06,-17.96
GoldbotOne_8|1890.02,2021-05,19.79
goldtrade_D|1912.75,2021-06,0.53
goldtrade_H|1912.75,2021-06,-1.34
goldtrade_E|1912.75,2021-06,0.51
DaytradePro_XAUUSD|1912.75,2021-06,0.14
Gold Reaper 6|1912.75,2021-06,-4.24
Gold Reaper 5|1912.75,2021-06,-9.57
Gold Reaper 4|1912.75,2021-06,-1.00
Gold Reaper 7|1912.75,2021-06,-2.01
GoldDaily2|1912.75,2021-06,0.16
GoldDaily3|1912.75,2021-06,6.52
GoldDaily1|1912.75,2021-06,-13.21
GoldbotOne_8|1912.75,2021-06,-0.62
Gold Reaper 6|1892.38,2021-06,0.10
Gold Reaper 7|1892.38,2021-06,0.49
Gold Reaper 5|1892.38,2021-06,0.54
Gold Reaper 4|1882.30,2021-06,-0.97
Gold Reaper 6|1882.30,2021-06,-0.64
Gold Reaper 7|1882.30,2021-06,-0.72
Gold Reaper 5|1882.30,2021-06,13.52
GoldDaily1|1882.30,2021-06,8.67
GoldbotOne_8|1882.30,2021-06,21.17
GoldDaily3|1882.30,2021-06,24.98
Gold Reaper 6|1896.20,2021-06,9.45
Gold Reaper 7|1896.20,2021-06,8.77
Gold Reaper 6|1883.77,2021-06,9.00
Gold Reaper 7|1883.77,2021-06,13.29
Gold Reaper 6|1903.77,2021-06,-1.92
Gold Reaper 5|1903.77,2021-06,-1.47
Gold Reaper 6|1869.97,2021-06,-0.81
Gold Reaper 7|1869.97,2021-06,-0.89
Gold Reaper 5|1869.97,2021-06,6.44
DaytradePro_XAUUSD|1855.72,2021-06,-2.58
goldtrade_H|1855.72,2021-06,-0.83
Gold Reaper 4|1855.72,2021-06,5.23
Gold Reaper 6|1855.72,2021-06,11.05
Gold Reaper 7|1855.72,2021-06,10.81
goldtrade_D|1855.72,2021-06,0.52
GoldbotOne_8|1855.72,2021-06,2.23
GoldDaily3|1855.72,2021-06,-3.77
Gold Reaper 7|1851.66,2021-06,10.16
Gold Reaper 4|1844.66,2021-06,-1.50
Gold Reaper 6|1844.66,2021-06,-1.57
