n132_eagleowl_or_b2_v144.htm — EagleOwl_v1 · XAUUSD.p · 6522 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.63   3.15     136   6.95  196  101 |   190/74    288/78    322/82    146/66 
Gold Reaper 7|1915.30      1       23   inf  23.33       0 583.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 7|1760.64      1       23   inf  23.31       0 582.75    0    1 |    23/1       0/0       0/0       0/0  
GoldbotOne_8|2222.93       1       23   inf  23.25       0 581.25    0    1 |     0/0       0/0       0/0      23/1  
Gold Reaper 4|1781.57      1       23   inf  23.24       0 581.00    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 8|1820.20      3       23   inf   7.67       0 191.83    0    3 |    23/3       0/0       0/0       0/0  
Gold Reaper 7|1691.43      1       23   inf  22.98       0 574.50    1    0 |     0/0      23/1       0/0       0/0  
GoldDaily3|1750.68         1       23   inf  22.96       0 574.00    0    1 |    23/1       0/0       0/0       0/0  
GoldDaily3|1719.23         1       23   inf  22.82       0 570.50    0    1 |    23/1       0/0       0/0       0/0  
GoldDaily1|1858.22         1       23   inf  22.77       0 569.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 4|2051.94      1       23   inf  22.62       0 565.50    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 8|2613.45      2       23   inf  11.27       0 281.75    0    2 |     0/0       0/0       0/0      23/2  
GoldDaily1|2392.92         1       22   inf  22.47       0 561.75    1    0 |     0/0       0/0       0/0      22/1  
Gold Reaper 8|1781.57      1       22   inf  22.42       0 560.50    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily3|1999.46         1       22   inf  22.34       0 558.50    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily3|1691.43         1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 4|1780.04      1       22   inf  22.17       0 554.25    1    0 |    22/1       0/0       0/0       0/0  
Gold Reaper 8|2058.21      1       22   inf  22.01       0 550.25    0    1 |     0/0       0/0       0/0      22/1  
Gold Reaper 8|2000.90      3       22  2.72   7.32      13   1.68    1    0 |     0/0       0/0      22/3       0/0  
GoldbotOne_8|1855.37       1       22   inf  21.91       0 547.75    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily1|1760.64         1       22   inf  21.88       0 547.00    1    0 |    22/1       0/0       0/0       0/0  
Gold Reaper 4|1900.99      1       22   inf  21.74       0 543.50    0    1 |     0/0       0/0      22/1       0/0  
GoldbotOne_8|2065.45       1       22   inf  21.72       0 543.00    0    1 |     0/0       0/0       0/0      22/1  
GoldDaily3|1758.67         1       22   inf  21.65       0 541.25    0    1 |    22/1       0/0       0/0       0/0  
GoldbotOne_8|1974.18       1       22   inf  21.64       0 541.00    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily3|1808.74         1       22   inf  21.63       0 540.75    1    0 |    22/1       0/0       0/0       0/0  
goldtrade_D|1729.44        1       22   inf  21.50       0 537.50    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 8|2020.10      1       21   inf  21.45       0 536.25    0    1 |     0/0       0/0      21/1       0/0  
