n132_eagleowl_or_b2_v104_v130.htm — EagleOwl_v1 · XAUUSD.p · 8136 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      522  1.47   2.31     106   4.92  142   71 |   160/60    156/61    249/56    -43/49 
GoldDaily1|2014.91         1       21   inf  20.68       0 517.00    1    0 |     0/0       0/0       0/0      21/1  
DaytradePro_XAUUSD|182     2       21   inf  10.32       0 258.00    0    2 |     0/0      21/2       0/0       0/0  
Gold Reaper 7|1809.55      2       21   inf  10.31       0 257.75    0    2 |    21/2       0/0       0/0       0/0  
Gold Reaper 8|1688.00      1       20   inf  20.49       0 512.25    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 7|2009.92      1       20   inf  20.34       0 508.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.30       0 507.50    0    1 |     0/0       0/0       0/0      20/1  
GoldDaily3|1935.09         1       20   inf  20.27       0 506.75    0    1 |     0/0       0/0      20/1       0/0  
GoldDaily1|1782.36         1       20   inf  20.01       0 500.25    1    0 |    20/1       0/0       0/0       0/0  
GoldDaily3|1791.60         2       20 32.95   9.99       1  25.28    0    1 |    20/2       0/0       0/0       0/0  
DaytradePro_XAUUSD|180     2       20   inf   9.94       0 248.38    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 7|1784.55      2       20   inf   9.93       0 248.25    0    2 |     0/0      20/2       0/0       0/0  
GoldDaily3|1778.53         2       20  6.66   9.90       4   5.37    1    1 |    20/2       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1890.02       1       20   inf  19.75       0 493.75    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 8|1934.42      5       20   inf   3.94       0  98.50    5    0 |     0/0       0/0      20/5       0/0  
Gold Reaper 3|2685.58      6       20  1.72   3.28      29   0.69    3    3 |     0/0       0/0       0/0      20/6  
GoldbotOne_8|1797.86       1       20   inf  19.60       0 490.00    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1754.31       1       20   inf  19.58       0 489.50    0    1 |     0/0      20/1       0/0       0/0  
GoldDaily1|1910.16         1       19   inf  19.47       0 486.75    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 7|1849.55      1       19   inf  19.42       0 485.50    0    1 |    19/1       0/0       0/0       0/0  
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 7|2172.75      4       19   inf   4.80       0 147.85    3    1 |     0/0       0/0       0/0      19/4  
Gold Reaper 7|2008.30      1       19   inf  19.08       0 477.00    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily1|2009.92         1       19   inf  18.98       0 474.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 7|2424.57      2       19   inf   9.48       0 236.88    1    1 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|2306.62      2       19   inf   9.42       0 144.85    2    0 |     0/0       0/0       0/0      19/2  
Gold Reaper 8|2747.72      3       19   inf   6.24       0 156.00    3    0 |     0/0       0/0       0/0      19/3  
Gold Reaper 3|1833.35      3       19   inf   6.17       0 154.25    3    0 |     0/0       0/0      19/3       0/0  
GoldDaily3|2670.20         1       18   inf  18.48       0 462.00    0    1 |     0/0       0/0       0/0      18/1  
Gold Reaper 8|1829.21      2       18   inf   9.21       0 230.25    0    2 |     0/0      18/2       0/0       0/0  
Gold Reaper 7|2200.17      2       18 11.62   9.21       2   9.64    0    1 |     0/0       0/0       0/0      18/2  
GoldbotOne_8|1833.35       1       18   inf  18.40       0 460.00    0    1 |     0/0       0/0      18/1       0/0  
GoldDaily1|2613.45         1       18   inf  18.37       0 459.25    1    0 |     0/0       0/0       0/0      18/1  
Gold Reaper 1|1853.87      1       18   inf  18.31       0 457.75    0    1 |     0/0      18/1       0/0       0/0  
GoldDaily1|1745.45         1       18   inf  18.20       0 455.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 7|2039.92      3       18   inf   6.04       0 151.08    2    1 |     0/0       0/0      18/3       0/0  
GoldbotOne_8|1719.23       1       18   inf  18.05       0 451.25    0    1 |    18/1       0/0       0/0       0/0  
Gold Reaper 7|1865.14      3       18 21.67   5.98       1  16.03    0    2 |     0/0       0/0      18/3       0/0  
Gold Reaper 7|1942.59      5       18  3.22   3.59       9   2.07    5    0 |     0/0       0/0      18/5       0/0  
Gold Reaper 8|1902.48      1       18   inf  17.88       0 447.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 1|2483.69      1       18   inf  17.70       0 442.50    0    1 |     0/0       0/0       0/0      18/1  
goldtrade_E|1802.16        1       18   inf  17.67       0 441.75    0    1 |    18/1       0/0       0/0       0/0  
Gold Reaper 3|2613.45      2       18  6.35   8.79       3   5.05    1    0 |     0/0       0/0       0/0      18/2  
GoldDaily3|1944.59         2       18  7.48   8.76       3   6.15    1    1 |     0/0      18/2       0/0       0/0  
Gold Reaper 8|1781.37      1       17   inf  17.48       0 437.00    0    1 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|1789.45      2       17   inf   8.74       0 218.50    0    2 |    17/2       0/0       0/0       0/0  
Gold Reaper 7|2319.86      3       17   inf   5.83       0 145.67    3    0 |     0/0       0/0       0/0      17/3  
GoldDaily3|1688.00         1       17   inf  17.41       0 435.25    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|1860.33      4       17   inf   4.33       0 108.38    4    0 |     0/0       0/0      17/4       0/0  
Gold Reaper 4|1832.00      1       17   inf  17.30       0 432.50    1    0 |     0/0      17/1       0/0       0/0  
GoldDaily1|1739.30         1       17   inf  17.24       0 431.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|2023.00      2       17   inf   8.57       0 214.25    0    2 |     0/0       0/0       0/0      17/2  
Gold Reaper 3|1831.69      1       17   inf  17.11       0 427.75    1    0 |     0/0      17/1       0/0       0/0  
goldtrade_H|1831.69        1       17   inf  17.10       0 427.50    1    0 |     0/0      17/1       0/0       0/0  
Gold Reaper 7|1910.16      2       17   inf   8.53       0 213.25    2    0 |     0/0       0/0      17/2       0/0  
GoldDaily1|1758.67         1       17   inf  17.05       0 426.25    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 8|1900.99      5       17  5.99   3.40       4   4.72    3    1 |     0/0       0/0      17/5       0/0  
Gold Reaper 7|1911.40      3       17   inf   5.66       0 141.42    2    1 |     0/0       0/0      17/3       0/0  
GoldbotOne_8|1758.67       1       17   inf  16.95       0 423.75    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|2365.35      4       17 13.46   4.22       2   9.93    1    1 |     0/0       0/0       0/0      17/4  
Gold Reaper 8|1949.12      1       17   inf  16.86       0 421.50    1    0 |     0/0       0/0      17/1       0/0  
Gold Reaper 7|1790.40      1       17   inf  16.85       0 421.25    0    1 |    17/1       0/0       0/0       0/0  
goldtrade_D|1951.95        2       17   inf   8.43       0 421.25    1    1 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|1963.08      2       17   inf   8.40       0 210.00    0    2 |     0/0       0/0      17/2       0/0  
GoldbotOne_8|1829.21       1       17   inf  16.74       0 418.50    1    0 |     0/0      17/1       0/0       0/0  
Gold Reaper 4|2613.45      2       17  3.64   8.35       7   2.57    2    0 |     0/0       0/0       0/0      17/2  
Gold Reaper 4|1829.63      2       17   inf   8.34       0 139.00    2    0 |     0/0      17/2       0/0       0/0  
GoldbotOne_8|1688.00       1       17   inf  16.64       0 416.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|1949.76      2       17   inf   8.27       0 206.62    0    2 |     0/0      17/2       0/0       0/0  
Gold Reaper 7|1793.68      4       16  4.83   4.12       5   3.50    0    1 |    16/4       0/0       0/0       0/0  
GoldDaily2|1932.42         1       16   inf  16.18       0 404.50    1    0 |     0/0       0/0      16/1       0/0  
Gold Reaper 4|2009.77      1       16   inf  16.17       0 404.25    1    0 |     0/0       0/0      16/1       0/0  
Gold Reaper 7|1860.33      5       16   inf   3.23       0  80.65    5    0 |     0/0       0/0      16/5       0/0  
Gold Reaper 4|1932.42      1       16   inf  16.12       0 403.00    1    0 |     0/0       0/0      16/1       0/0  
GoldbotOne_8|1969.85       2       16   inf   8.01       0 400.50    1    1 |     0/0       0/0      16/2       0/0  
Gold Reaper 8|2632.45      3       16   inf   5.30       0 132.58    3    0 |     0/0       0/0       0/0      16/3  
Gold Reaper 1|2195.21      1       16   inf  15.86       0 396.50    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|2451.50      4       16  4.35   3.96       5   3.08    0    2 |     0/0       0/0       0/0      16/4  
goldtrade_E|2009.77        1       16   inf  15.82       0 395.50    0    1 |     0/0       0/0      16/1       0/0  
goldtrade_D|2392.92        1       16   inf  15.81       0 395.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|1849.97      2       16   inf   7.83       0 195.75    0    2 |     0/0       0/0      16/2       0/0  
goldtrade_E|1750.68        3       16   inf   5.21       0 390.75    1    2 |    16/3       0/0       0/0       0/0  
Gold Reaper 8|1841.96      2       16   inf   7.79       0 194.75    0    2 |     0/0      16/2       0/0       0/0  
Gold Reaper 7|1791.60      2       16   inf   7.78       0 194.38    1    1 |    16/2       0/0       0/0       0/0  
goldtrade_D|1850.39        1       16   inf  15.52       0 388.00    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 8|1825.04      8       16  2.92   1.94       9   1.72    0    3 |     0/0      16/8       0/0       0/0  
Gold Reaper 7|1924.62      2       15   inf   7.74       0 193.50    1    1 |     0/0       0/0      15/2       0/0  
Gold Reaper 8|1800.45      3       15   inf   5.13       0 128.33    0    3 |    15/3       0/0       0/0       0/0  
Gold Reaper 7|1820.20      5       15   inf   3.08       0  77.00    5    0 |    10/4       6/1       0/0       0/0  
Gold Reaper 8|2633.15      3       15  8.06   5.12       2   6.27    0    2 |     0/0       0/0       0/0      15/3  
GoldDaily3|1805.76         1       15   inf  15.28       0 382.00    1    0 |     0/0      15/1       0/0       0/0  
Gold Reaper 7|2717.07      1       15   inf  15.26       0 381.50    0    1 |     0/0       0/0       0/0      15/1  
Gold Reaper 8|1800.59      2       15   inf   7.62       0 190.38    0    2 |    15/2       0/0       0/0       0/0  
Gold Reaper 8|1784.55      2       15   inf   7.62       0 190.38    0    2 |     0/0      15/2       0/0       0/0  
