jeu,mois,net
XAGUSD H2 AGA04|25.797,2021-08,0.89
XAGUSD H2 AGA09|25.797,2021-08,0.79
XAGUSD H2 AGA06|25.797,2021-08,0.84
XAGUSD H2 AGA09|25.243,2021-08,0.47
XAGUSD H2 AGA04|25.243,2021-08,1.27
XAGUSD H2 AGA06|25.243,2021-08,0.47
XAGUSD H2 AGA04|24.490,2021-08,8.12
XAGUSD H2 AGA09|24.490,2021-08,7.62
XAGUSD H2 AGA06|24.490,2021-08,7.62
XAGUSD H2 AGA09|23.205,2021-08,-3.43
XAGUSD H2 AGA04|23.205,2021-08,-3.58
XAGUSD H2 AGA06|23.205,2021-08,-3.43
XAGUSD H2 AGA09|23.587,2021-08,4.56
XAGUSD H2 AGA09|23.091,2021-08,-14.93
XAGUSD H2 AGA04|23.006,2021-08,1.09
XAGUSD H2 AGA06|23.006,2021-08,1.14
XAGUSD H2 AGA09|23.006,2021-08,0.57
XAGUSD H2 AGA04|23.956,2021-08,-30.24
XAGUSD H2 AGA09|23.956,2021-08,-31.11
XAGUSD H2 AGA06|23.956,2021-08,-21.64
XAGUSD H2 AGA09|23.950,2021-08,0.57
XAGUSD H2 AGA06|23.950,2021-08,0.57
XAGUSD H2 AGA09|24.211,2021-08,-15.14
XAGUSD H2 AGA09|24.211,2021-09,0.52
XAGUSD H2 AGA04|24.211,2021-08,-12.83
XAGUSD H2 AGA04|24.211,2021-09,0.57
XAGUSD H2 AGA06|24.211,2021-08,-6.03
XAGUSD H2 AGA06|24.211,2021-09,0.52
XAGUSD H2 AGA09|23.753,2021-09,18.90
XAGUSD H2 AGA04|23.753,2021-09,-2.90
XAGUSD H2 AGA06|23.753,2021-09,-2.30
XAGUSD H2 AGA04|24.264,2021-09,0.52
XAGUSD H2 AGA09|23.843,2021-09,40.16
XAGUSD H2 AGA06|23.843,2021-09,1.20
XAGUSD H2 AGA09|23.960,2021-09,-15.73
XAGUSD H2 AGA04|23.960,2021-09,-15.73
XAGUSD H2 AGA06|23.960,2021-09,-16.23
XAGUSD H2 AGA09|23.381,2021-09,88.73
XAGUSD H2 AGA04|23.381,2021-09,48.56
XAGUSD H2 AGA06|23.381,2021-09,81.33
XAGUSD H2 AGA09|23.340,2021-09,24.07
XAGUSD H2 AGA04|23.340,2021-09,0.57
XAGUSD H2 AGA06|23.340,2021-09,22.77
XAGUSD H2 AGA04|22.874,2021-09,4.82
XAGUSD H2 AGA09|22.874,2021-09,4.82
XAGUSD H2 AGA09|22.105,2021-09,-11.73
XAGUSD H2 AGA06|22.105,2021-09,-12.13
XAGUSD H2 AGA04|22.034,2021-09,22.24
XAGUSD H2 AGA04|22.034,2021-12,1.22
XAGUSD H2 AGA09|22.034,2021-09,22.24
XAGUSD H2 AGA09|22.034,2021-12,0.47
XAGUSD H2 AGA06|22.034,2021-09,38.34
