jeu,mois,net
XAGUSD H2 AGA04|28.781,2024-08,-3.11
XAGUSD H2 AGA09|28.781,2024-08,-4.17
XAGUSD H2 AGA09|28.781,2024-09,8.47
XAGUSD H2 AGA06|28.781,2024-08,-3.01
XAGUSD H2 AGA04|27.706,2024-09,-28.94
XAGUSD H2 AGA09|27.706,2024-09,-18.44
XAGUSD H2 AGA06|27.706,2024-09,-18.64
XAGUSD H2 AGA04|29.178,2024-09,1.74
XAGUSD H2 AGA09|29.178,2024-09,1.84
XAGUSD H2 AGA06|29.178,2024-09,1.74
XAGUSD H2 AGA09|30.098,2024-09,49.87
XAGUSD H2 AGA04|30.190,2024-09,14.88
XAGUSD H2 AGA09|30.190,2024-09,44.66
XAGUSD H2 AGA06|30.190,2024-09,62.86
XAGUSD H2 AGA09|31.096,2024-09,1.54
XAGUSD H2 AGA04|31.096,2024-09,1.49
XAGUSD H2 AGA06|31.096,2024-09,1.64
XAGUSD H2 AGA09|31.432,2024-09,65.49
XAGUSD H2 AGA04|31.432,2024-09,71.04
XAGUSD H2 AGA06|31.432,2024-09,60.04
XAGUSD H2 AGA09|32.277,2024-09,8.62
XAGUSD H2 AGA04|32.277,2024-09,9.57
XAGUSD H2 AGA06|32.277,2024-09,18.34
XAGUSD H2 AGA09|32.303,2024-10,13.71
XAGUSD H2 AGA04|32.303,2024-10,-2.59
XAGUSD H2 AGA06|32.303,2024-10,30.64
XAGUSD H2 AGA04|32.709,2024-10,0.92
XAGUSD H2 AGA09|32.709,2024-10,0.87
XAGUSD H2 AGA06|32.709,2024-10,0.87
XAGUSD H2 AGA09|30.993,2024-10,80.50
XAGUSD H2 AGA04|30.878,2024-10,1.74
XAGUSD H2 AGA09|30.878,2024-10,68.74
XAGUSD H2 AGA06|30.878,2024-10,33.44
XAGUSD H2 AGA04|30.355,2024-10,0.97
XAGUSD H2 AGA09|30.355,2024-10,39.12
XAGUSD H2 AGA06|30.355,2024-10,0.92
XAGUSD H2 AGA09|31.629,2024-10,11.48
XAGUSD H2 AGA04|31.629,2024-10,-0.17
XAGUSD H2 AGA06|31.629,2024-10,12.63
XAGUSD H2 AGA09|32.175,2024-10,99.86
XAGUSD H2 AGA04|32.175,2024-10,130.81
XAGUSD H2 AGA06|32.175,2024-10,80.70
XAGUSD H2 AGA04|32.957,2024-10,40.72
XAGUSD H2 AGA09|32.957,2024-10,37.27
XAGUSD H2 AGA06|32.957,2024-10,34.17
XAGUSD H2 AGA04|33.085,2024-10,15.88
XAGUSD H2 AGA04|33.085,2024-11,15.07
XAGUSD H2 AGA09|33.085,2024-10,-0.08
XAGUSD H2 AGA09|33.085,2024-11,30.04
XAGUSD H2 AGA06|33.085,2024-10,-0.04
XAGUSD H2 AGA06|33.085,2024-11,15.07
XAGUSD H2 AGA04|31.309,2024-11,21.94
XAGUSD H2 AGA09|31.309,2024-11,19.04
XAGUSD H2 AGA06|31.309,2024-11,18.49
XAGUSD H2 AGA04|30.825,2024-11,6.97
XAGUSD H2 AGA06|30.825,2024-11,5.48
XAGUSD H2 AGA09|30.825,2024-11,5.48
XAGUSD H2 AGA09|30.184,2024-11,-2.81
XAGUSD H2 AGA04|30.184,2024-11,-5.16
XAGUSD H2 AGA06|30.184,2024-11,7.44
XAGUSD H2 AGA04|31.144,2024-11,3.01
XAGUSD H2 AGA09|31.144,2024-11,2.91
XAGUSD H2 AGA06|31.144,2024-11,3.01
XAGUSD H2 AGA04|30.640,2024-11,1.94
XAGUSD H2 AGA09|30.640,2024-11,1.79
XAGUSD H2 AGA06|30.640,2024-11,1.99
XAGUSD H2 AGA09|29.982,2024-11,-4.91
XAGUSD H2 AGA04|29.982,2024-11,-4.81
XAGUSD H2 AGA06|29.982,2024-11,-4.51
XAGUSD H2 AGA09|29.676,2024-11,-21.03
XAGUSD H2 AGA04|29.676,2024-11,0.97
XAGUSD H2 AGA06|29.676,2024-11,-15.98
XAGUSD H2 AGA09|30.702,2024-11,2.96
XAGUSD H2 AGA09|30.892,2024-12,0.92
XAGUSD H2 AGA04|30.892,2024-12,0.92
XAGUSD H2 AGA06|30.892,2024-12,0.92
XAGUSD H2 AGA04|31.473,2024-12,4.58
XAGUSD H2 AGA09|31.473,2024-12,-4.69
XAGUSD H2 AGA06|31.473,2024-12,-20.41
XAGUSD H2 AGA04|31.534,2024-12,36.02
XAGUSD H2 AGA09|31.534,2024-12,33.17
XAGUSD H2 AGA06|31.534,2024-12,30.37
XAGUSD H2 AGA09|32.278,2024-12,1.74
XAGUSD H2 AGA04|32.278,2024-12,1.34
XAGUSD H2 AGA06|32.278,2024-12,1.54
XAGUSD H2 AGA09|31.347,2024-12,60.56
XAGUSD H2 AGA04|31.347,2024-12,33.85
XAGUSD H2 AGA06|31.347,2024-12,-15.36
XAGUSD H2 AGA04|30.822,2024-12,-16.54
XAGUSD H2 AGA09|30.822,2024-12,-13.99
XAGUSD H2 AGA06|30.822,2024-12,102.62
XAGUSD H2 AGA09|30.474,2024-12,1.64
XAGUSD H2 AGA09|30.291,2024-12,1.44
XAGUSD H2 AGA04|30.291,2024-12,1.64
XAGUSD H2 AGA06|30.291,2024-12,1.54
XAGUSD H2 AGA09|30.050,2024-12,0.87
XAGUSD H2 AGA04|29.640,2024-12,31.71
XAGUSD H2 AGA09|29.640,2024-12,30.86
XAGUSD H2 AGA06|29.640,2024-12,7.69
XAGUSD H2 AGA09|29.873,2024-12,-40.44
XAGUSD H2 AGA04|29.873,2024-12,-39.89
XAGUSD H2 AGA06|29.873,2024-12,-68.44
