jeu,mois,net
XAGUSD H2 AGA06|37.679,2025-08,7.32
XAGUSD H2 AGA04|37.492,2025-08,0.62
XAGUSD H2 AGA09|37.492,2025-08,31.13
XAGUSD H2 AGA06|37.492,2025-08,0.67
XAGUSD H2 AGA04|38.264,2025-08,63.04
XAGUSD H2 AGA09|38.264,2025-08,58.84
XAGUSD H2 AGA06|38.264,2025-08,54.34
XAGUSD H2 AGA04|38.733,2025-08,9.56
XAGUSD H2 AGA09|38.733,2025-08,7.06
XAGUSD H2 AGA06|38.733,2025-08,6.96
XAGUSD H2 AGA09|38.333,2025-08,2.01
XAGUSD H2 AGA04|39.061,2025-08,1.34
XAGUSD H2 AGA09|39.061,2025-08,1.44
XAGUSD H2 AGA06|39.061,2025-08,-30.52
XAGUSD H2 AGA04|41.459,2025-09,-33.60
XAGUSD H2 AGA09|41.459,2025-09,-33.55
XAGUSD H2 AGA06|41.459,2025-09,-35.65
XAGUSD H2 AGA09|41.662,2025-09,0.77
XAGUSD H2 AGA04|41.662,2025-09,0.77
XAGUSD H2 AGA06|41.662,2025-09,0.77
XAGUSD H2 AGA09|42.462,2025-09,0.98
XAGUSD H2 AGA04|42.462,2025-09,1.73
XAGUSD H2 AGA06|42.462,2025-09,0.98
XAGUSD H2 AGA09|42.964,2025-09,1.49
XAGUSD H2 AGA04|42.964,2025-09,1.44
XAGUSD H2 AGA06|42.964,2025-09,1.44
XAGUSD H2 AGA09|44.460,2025-09,17.02
XAGUSD H2 AGA04|44.460,2025-09,8.12
XAGUSD H2 AGA06|44.460,2025-09,25.24
XAGUSD H2 AGA09|47.177,2025-10,2.02
XAGUSD H2 AGA04|47.177,2025-10,3.02
XAGUSD H2 AGA06|47.177,2025-10,2.02
XAGUSD H2 AGA04|48.762,2025-10,1.17
XAGUSD H2 AGA09|48.762,2025-10,0.82
XAGUSD H2 AGA06|48.762,2025-10,1.02
XAGUSD H2 AGA04|51.246,2025-10,1.27
XAGUSD H2 AGA06|51.246,2025-10,1.27
XAGUSD H2 AGA09|51.246,2025-10,1.27
XAGUSD H2 AGA09|53.527,2025-10,-13.24
XAGUSD H2 AGA04|53.527,2025-10,-1.99
XAGUSD H2 AGA06|53.527,2025-10,-13.54
XAGUSD H2 AGA09|50.574,2025-10,-13.78
XAGUSD H2 AGA04|50.574,2025-10,53.17
XAGUSD H2 AGA06|50.574,2025-10,-13.98
XAGUSD H2 AGA09|50.052,2025-10,34.29
XAGUSD H2 AGA04|47.334,2025-10,69.28
XAGUSD H2 AGA09|47.334,2025-10,32.76
XAGUSD H2 AGA06|47.334,2025-10,153.48
XAGUSD H2 AGA04|47.353,2025-10,32.84
XAGUSD H2 AGA06|47.353,2025-10,60.24
XAGUSD H2 AGA09|47.353,2025-10,68.64
XAGUSD H2 AGA04|45.908,2025-10,1.82
XAGUSD H2 AGA09|45.908,2025-10,2.02
XAGUSD H2 AGA04|45.802,2025-10,1.82
XAGUSD H2 AGA04|49.442,2025-10,-46.39
XAGUSD H2 AGA04|49.442,2025-11,2.02
XAGUSD H2 AGA09|49.442,2025-10,-60.84
XAGUSD H2 AGA09|49.442,2025-11,73.13
XAGUSD H2 AGA06|49.442,2025-10,-78.29
XAGUSD H2 AGA06|49.442,2025-11,14.57
XAGUSD H2 AGA04|49.354,2025-11,-7.30
XAGUSD H2 AGA09|49.354,2025-11,-40.95
XAGUSD H2 AGA06|49.354,2025-11,142.37
XAGUSD H2 AGA04|54.446,2025-11,-14.54
XAGUSD H2 AGA09|54.446,2025-11,-82.94
XAGUSD H2 AGA09|50.021,2025-11,4.39
XAGUSD H2 AGA09|49.351,2025-11,4.77
XAGUSD H2 AGA04|49.351,2025-11,0.32
XAGUSD H2 AGA06|49.351,2025-11,8.68
XAGUSD H2 AGA04|52.462,2025-11,-0.89
XAGUSD H2 AGA09|52.462,2025-11,2.06
XAGUSD H2 AGA06|52.462,2025-11,5.41
XAGUSD H2 AGA09|54.370,2025-11,52.84
XAGUSD H2 AGA06|54.370,2025-11,42.74
XAGUSD H2 AGA04|54.370,2025-11,59.19
XAGUSD H2 AGA09|58.842,2025-12,-172.50
XAGUSD H2 AGA04|58.842,2025-12,-171.40
XAGUSD H2 AGA06|58.842,2025-12,-152.79
XAGUSD H2 AGA04|58.966,2025-12,1.92
XAGUSD H2 AGA06|58.966,2025-12,1.92
XAGUSD H2 AGA09|58.966,2025-12,1.92
XAGUSD H2 AGA09|59.429,2025-12,75.63
XAGUSD H2 AGA04|59.429,2025-12,82.13
XAGUSD H2 AGA06|59.429,2025-12,70.57
XAGUSD H2 AGA09|64.648,2025-12,86.07
XAGUSD H2 AGA04|64.648,2025-12,91.92
XAGUSD H2 AGA06|64.648,2025-12,77.87
XAGUSD H2 AGA09|66.883,2025-12,1.92
XAGUSD H2 AGA04|66.883,2025-12,2.52
XAGUSD H2 AGA06|66.883,2025-12,2.52
