n132_eagleowl_or_b2_v135.htm — EagleOwl_v1 · XAUUSD.p · 6272 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      609  1.52   2.69     129   4.73  151   74 |   195/60    180/61    232/56      1/49 
GoldDaily1|2392.92         1       22   inf  22.47       0 561.75    1    0 |     0/0       0/0       0/0      22/1  
Gold Reaper 8|1767.98      3       22   inf   7.48       0 187.00    0    3 |     0/0      22/3       0/0       0/0  
Gold Reaper 8|1781.57      1       22   inf  22.42       0 560.50    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily3|1999.46         1       22   inf  22.34       0 558.50    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily3|1691.43         1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 8|2058.21      1       22   inf  22.01       0 550.25    0    1 |     0/0       0/0       0/0      22/1  
Gold Reaper 8|1723.25      3       22   inf   7.32       0 182.92    0    3 |     0/0      22/3       0/0       0/0  
GoldDaily1|1760.64         1       22   inf  21.88       0 547.00    1    0 |    22/1       0/0       0/0       0/0  
Gold Reaper 7|1855.72      2       22   inf  10.93       0 273.25    0    2 |    22/2       0/0       0/0       0/0  
GoldDaily3|1758.67         1       22   inf  21.65       0 541.25    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily3|1729.44         1       22   inf  21.50       0 537.50    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 8|2020.10      1       21   inf  21.45       0 536.25    0    1 |     0/0       0/0      21/1       0/0  
DaytradePro_XAUUSD|196     2       21   inf  10.67       0 266.62    0    2 |     0/0       0/0      21/2       0/0  
Gold Reaper 8|2000.90      3       21  2.59   7.10      14   1.55    1    0 |     0/0       0/0      21/3       0/0  
DaytradePro_XAUUSD|182     2       21   inf  10.63       0 265.75    0    2 |     0/0      21/2       0/0       0/0  
GoldDaily3|1915.04         1       21   inf  21.11       0 527.75    0    1 |     0/0      21/1       0/0       0/0  
DaytradePro_XAUUSD|181     2       21   inf  10.55       0 263.63    0    2 |    21/2       0/0       0/0       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 7|1891.48      2       21   inf  10.51       0 262.62    0    2 |     0/0      21/2       0/0       0/0  
Gold Reaper 8|1833.35      2       21   inf  10.49       0 262.12    0    2 |     0/0       0/0      21/2       0/0  
GoldDaily3|1854.85         1       21   inf  20.93       0 523.25    0    1 |    21/1       0/0       0/0       0/0  
Gold Reaper 8|1843.65      3       21   inf   6.98       0 174.42    0    3 |    21/3       0/0       0/0       0/0  
Gold Reaper 7|2007.54      1       21   inf  20.91       0 522.75    1    0 |     0/0       0/0      21/1       0/0  
Gold Reaper 4|2368.75      1       21   inf  20.88       0 522.00    0    0 |     0/0       0/0       0/0      21/1  
GoldDaily1|2014.91         1       21   inf  20.77       0 519.25    1    0 |     0/0       0/0       0/0      21/1  
DaytradePro_XAUUSD|183     2       21   inf  10.37       0 259.13    0    2 |     0/0       0/0      21/2       0/0  
goldtrade_H|1947.44        2       21   inf  10.36       0 259.00    2    0 |     0/0       0/0      21/2       0/0  
Gold Reaper 7|1809.55      2       21   inf  10.31       0 257.75    0    2 |    21/2       0/0       0/0       0/0  
Gold Reaper 8|1688.00      1       21   inf  20.53       0 513.25    0    1 |     0/0      21/1       0/0       0/0  
goldtrade_H|2195.21        1       20   inf  20.50       0 512.50    1    0 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1859.67      2       20   inf  10.25       0 256.12    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 8|2424.57      2       20   inf  10.24       0 256.00    0    2 |     0/0       0/0       0/0      20/2  
GoldDaily3|1944.59         1       20   inf  20.41       0 510.25    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 8|2398.31      2       20   inf  10.20       0 255.00    0    2 |     0/0       0/0       0/0      20/2  
Gold Reaper 7|2009.92      1       20   inf  20.38       0 509.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.34       0 508.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 8|2339.74      2       20   inf  10.16       0 254.00    1    1 |     0/0       0/0       0/0      20/2  
GoldDaily3|1935.09         1       20   inf  20.31       0 507.75    0    1 |     0/0       0/0      20/1       0/0  
goldtrade_E|2450.11        1       20   inf  20.30       0 507.50    0    1 |     0/0       0/0       0/0      20/1  
goldtrade_E|2392.92        1       20   inf  20.23       0 505.75    0    1 |     0/0       0/0       0/0      20/1  
GoldDaily1|1782.36         1       20   inf  20.03       0 500.75    1    0 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|2747.72      1       20   inf  19.89       0 497.25    0    1 |     0/0       0/0       0/0      20/1  
DaytradePro_XAUUSD|180     2       20   inf   9.94       0 248.38    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 7|1784.55      2       20   inf   9.93       0 248.25    0    2 |     0/0      20/2       0/0       0/0  
Gold Reaper 3|2613.45      1       20   inf  19.79       0 494.75    1    0 |     0/0       0/0       0/0      20/1  
GoldbotOne_8|1890.02       1       20   inf  19.79       0 494.75    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1792.42      2       20   inf   9.89       0 247.25    0    2 |    20/2       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1789.45      2       20   inf   9.88       0 247.00    0    2 |    20/2       0/0       0/0       0/0  
Gold Reaper 8|1934.42      5       20   inf   3.94       0  98.50    5    0 |     0/0       0/0      20/5       0/0  
GoldDaily1|1910.16         1       20   inf  19.69       0 492.25    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|1849.55      1       19   inf  19.44       0 486.00    0    1 |    19/1       0/0       0/0       0/0  
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 8|2319.86      2       19   inf   9.64       0 241.00    0    2 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|1732.57      2       19   inf   9.62       0 240.38    0    2 |     0/0      19/2       0/0       0/0  
Gold Reaper 7|2008.30      1       19   inf  19.16       0 479.00    0    1 |     0/0       0/0       0/0      19/1  
GoldDaily1|2009.92         1       19   inf  19.02       0 475.50    1    0 |     0/0       0/0      19/1       0/0  
Gold Reaper 7|2306.62      2       19   inf   9.45       0 145.31    2    0 |     0/0       0/0       0/0      19/2  
GoldbotOne_8|1791.60       1       19   inf  18.72       0 468.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 8|1940.01      2       19   inf   9.29       0 232.38    0    2 |     0/0       0/0      19/2       0/0  
Gold Reaper 7|1793.09      2       19   inf   9.29       0 232.25    0    2 |    19/2       0/0       0/0       0/0  
goldtrade_H|1833.35        2       19   inf   9.26       0 231.50    2    0 |     0/0       0/0      19/2       0/0  
Gold Reaper 1|1853.87      1       18   inf  18.35       0 458.75    0    1 |     0/0      18/1       0/0       0/0  
goldtrade_D|2613.45        1       18   inf  18.18       0 454.50    0    1 |     0/0       0/0       0/0      18/1  
GoldbotOne_8|1719.23       1       18   inf  18.07       0 451.75    0    1 |    18/1       0/0       0/0       0/0  
GoldbotOne_8|1697.60       1       18   inf  18.07       0 451.75    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 7|1865.14      3       18 21.76   6.01       1  16.10    0    2 |     0/0       0/0      18/3       0/0  
Gold Reaper 8|1902.48      1       18   inf  17.96       0 449.00    0    1 |     0/0      18/1       0/0       0/0  
Gold Reaper 8|1813.83      1       18   inf  17.88       0 447.00    0    1 |    18/1       0/0       0/0       0/0  
DaytradePro_XAUUSD|185     4       18  6.06   4.45       4   4.56    0    2 |    18/4       0/0       0/0       0/0  
Gold Reaper 1|2483.69      1       18   inf  17.70       0 442.50    0    1 |     0/0       0/0       0/0      18/1  
goldtrade_E|1802.16        1       18   inf  17.67       0 441.75    0    1 |    18/1       0/0       0/0       0/0  
GoldDaily3|1688.00         1       17   inf  17.45       0 436.25    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|2051.94      2       17   inf   8.67       0 216.75    0    2 |     0/0       0/0      17/2       0/0  
Gold Reaper 4|1832.00      1       17   inf  17.32       0 433.00    1    0 |     0/0      17/1       0/0       0/0  
GoldDaily1|1745.45         1       17   inf  17.28       0 432.00    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 4|1829.63      2       17   inf   8.63       0 143.92    2    0 |     0/0      17/2       0/0       0/0  
Gold Reaper 7|1910.16      2       17   inf   8.60       0 215.00    2    0 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|2023.00      2       17   inf   8.57       0 214.25    0    2 |     0/0       0/0       0/0      17/2  
Gold Reaper 1|2392.92      1       17   inf  17.14       0 428.50    0    1 |     0/0       0/0       0/0      17/1  
GoldDaily1|1758.67         1       17   inf  17.13       0 428.25    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|1791.60      2       17   inf   8.54       0 213.50    1    1 |    17/2       0/0       0/0       0/0  
goldtrade_D|2483.69        1       17   inf  17.07       0 426.75    0    1 |     0/0       0/0       0/0      17/1  
GoldDaily2|1758.67         1       17   inf  17.03       0 425.75    1    0 |    17/1       0/0       0/0       0/0  
Gold Reaper 7|2632.45      2       17   inf   8.48       0 212.00    1    1 |     0/0       0/0       0/0      17/2  
Gold Reaper 1|1833.35      5       17  2.88   3.37      10   1.76    0    2 |     0/0       0/0      17/5       0/0  
Gold Reaper 8|1993.40      2       17   inf   8.43       0 210.62    0    2 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|1963.08      2       17   inf   8.40       0 210.00    0    2 |     0/0       0/0      17/2       0/0  
Gold Reaper 8|1949.76      2       17   inf   8.27       0 206.62    0    2 |     0/0      17/2       0/0       0/0  
GoldDaily1|1674.98         1       17   inf  16.51       0 412.75    0    1 |     0/0      17/1       0/0       0/0  
Gold Reaper 8|1937.37      2       16   inf   8.20       0 204.88    0    2 |     0/0       0/0      16/2       0/0  
Gold Reaper 7|2424.57      2       16   inf   8.16       0 203.88    1    1 |     0/0       0/0       0/0      16/2  
Gold Reaper 8|1925.94      2       16   inf   8.13       0 203.25    0    2 |     0/0       0/0      16/2       0/0  
Gold Reaper 4|2009.77      1       16   inf  16.21       0 405.25    1    0 |     0/0       0/0      16/1       0/0  
GoldDaily2|1932.42         1       16   inf  16.18       0 404.50    1    0 |     0/0       0/0      16/1       0/0  
goldtrade_D|2383.85        1       16   inf  16.16       0 404.00    0    1 |     0/0       0/0       0/0      16/1  
GoldbotOne_8|1915.04       1       16   inf  16.14       0 403.50    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 4|1932.42      1       16   inf  16.12       0 403.00    1    0 |     0/0       0/0      16/1       0/0  
Gold Reaper 7|2364.98      2       16  5.50   8.04       4   4.27    0    0 |     0/0       0/0       0/0      16/2  
Gold Reaper 7|1760.64      2       16  3.19   7.94       7   2.13    1    1 |    16/2       0/0       0/0       0/0  
GoldbotOne_8|1758.67       1       16   inf  15.88       0 397.00    0    1 |    16/1       0/0       0/0       0/0  
Gold Reaper 1|2195.21      1       16   inf  15.86       0 396.50    0    1 |     0/0       0/0       0/0      16/1  
goldtrade_E|2009.77        1       16   inf  15.82       0 395.50    0    1 |     0/0       0/0      16/1       0/0  
Gold Reaper 8|1856.95      2       16   inf   7.91       0 197.75    0    2 |    16/2       0/0       0/0       0/0  
goldtrade_D|2392.92        1       16   inf  15.81       0 395.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|2368.75      2       16  5.11   7.90       4   3.90    0    0 |     0/0       0/0       0/0      16/2  
goldtrade_D|1969.23        1       16   inf  15.80       0 395.00    0    1 |     0/0       0/0      16/1       0/0  
DaytradePro_XAUUSD|261     1       16   inf  15.73       0 393.25    0    1 |     0/0       0/0       0/0      16/1  
Gold Reaper 8|1859.67      2       16   inf   7.86       0 196.38    0    2 |     0/0      16/2       0/0       0/0  
Gold Reaper 8|1800.45      3       16   inf   5.23       0 130.83    0    3 |    16/3       0/0       0/0       0/0  
Gold Reaper 8|1865.44      3       16   inf   5.23       0  92.29    1    2 |     0/0      -0/1      16/2       0/0  
Gold Reaper 8|1849.97      2       16   inf   7.83       0 195.75    0    2 |     0/0       0/0      16/2       0/0  
Gold Reaper 7|1949.76      2       16   inf   7.79       0 194.88    2    0 |     0/0      16/2       0/0       0/0  
Gold Reaper 8|1841.96      2       16   inf   7.79       0 194.75    0    2 |     0/0      16/2       0/0       0/0  
goldtrade_D|1850.39        1       16   inf  15.52       0 388.00    0    1 |     0/0      16/1       0/0       0/0  
Gold Reaper 8|1829.21      2       15   inf   7.74       0 193.50    0    2 |     0/0      15/2       0/0       0/0  
Gold Reaper 8|1720.65      1       15   inf  15.45       0 386.25    0    1 |    15/1       0/0       0/0       0/0  
Gold Reaper 7|1721.54      3       15 13.75   5.15       1  10.50    0    2 |    15/3       0/0       0/0       0/0  
GoldDaily3|1805.76         1       15   inf  15.35       0 383.75    1    0 |     0/0      15/1       0/0       0/0  
Gold Reaper 8|2039.92      3       15 11.17   5.11       2   8.66    0    2 |     0/0       0/0      15/3       0/0  
Gold Reaper 7|1911.40      3       15   inf   5.09       0 127.33    3    0 |     0/0       0/0      15/3       0/0  
Gold Reaper 7|2717.07      1       15   inf  15.26       0 381.50    0    1 |     0/0       0/0       0/0      15/1  
Gold Reaper 8|1800.59      2       15   inf   7.62       0 190.38    0    2 |    15/2       0/0       0/0       0/0  
Gold Reaper 8|1784.55      2       15   inf   7.62       0 190.38    0    2 |     0/0      15/2       0/0       0/0  
Gold Reaper 8|1798.70      2       15   inf   7.60       0 190.00    0    2 |     0/0      15/2       0/0       0/0  
Gold Reaper 8|1791.60      2       15   inf   7.60       0 190.00    0    2 |    15/2       0/0       0/0       0/0  
Gold Reaper 8|1919.19      3       15 307.80   5.03       0  52.07    2    1 |     0/0       0/0      15/3       0/0  
Gold Reaper 8|1777.40      2       15   inf   7.54       0 188.62    0    2 |    15/2       0/0       0/0       0/0  
Gold Reaper 8|1789.96      2       15   inf   7.54       0 188.62    0    2 |    15/2       0/0       0/0       0/0  
Gold Reaper 8|1759.82      2       15   inf   7.50       0 187.38    2    0 |     0/0      15/2       0/0       0/0  
goldtrade_E|1786.53        1       15   inf  14.96       0 374.00    0    1 |     0/0      15/1       0/0       0/0  
Gold Reaper 7|2758.45      1       15   inf  14.91       0 372.75    0    1 |     0/0       0/0       0/0      15/1  
Gold Reaper 7|2724.77      1       15   inf  14.91       0 372.75    0    1 |     0/0       0/0       0/0      15/1  
GoldDaily3|1833.35         1       15   inf  14.85       0 371.25    0    1 |     0/0       0/0      15/1       0/0  
Gold Reaper 7|2643.35      1       15   inf  14.84       0 371.00    0    1 |     0/0       0/0       0/0      15/1  
Gold Reaper 8|1805.80      3       15 12.42   4.95       2   9.51    0    2 |    15/3       0/0       0/0       0/0  
goldtrade_E|2195.21        1       15   inf  14.52       0 363.00    0    1 |     0/0       0/0       0/0      15/1  
Gold Reaper 8|1691.43      2       14   inf   7.21       0 180.12    0    2 |     0/0      14/2       0/0       0/0  
goldtrade_E|2065.45        1       14   inf  14.35       0 358.75    0    1 |     0/0       0/0       0/0      14/1  
