n121_eagleowl_or_reverif_v141.htm — EagleOwl_v1 · XAUUSD.p · 6690 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.66   3.15     175   5.39  200   98 |   228/74    262/78    280/82    176/66 
Gold Reaper 7|1859.67      2       20   inf  10.25       0 256.12    0    2 |     0/0      20/2       0/0       0/0  
GoldDaily3|1944.59         1       20   inf  20.41       0 510.25    0    1 |     0/0      20/1       0/0       0/0  
Gold Reaper 7|2009.92      1       20   inf  20.38       0 509.50    1    0 |     0/0       0/0      20/1       0/0  
Gold Reaper 7|2041.35      1       20   inf  20.34       0 508.50    0    1 |     0/0       0/0       0/0      20/1  
GoldDaily3|1935.09         1       20   inf  20.31       0 507.75    0    1 |     0/0       0/0      20/1       0/0  
goldtrade_E|2392.92        1       20   inf  20.23       0 505.75    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 4|1914.10      1       20   inf  20.19       0 504.75    0    1 |     0/0      20/1       0/0       0/0  
goldtrade_D|2195.21        1       20   inf  20.14       0 503.50    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1809.55      2       20   inf  10.04       0 251.00    0    2 |    20/2       0/0       0/0       0/0  
GoldDaily1|1782.36         1       20   inf  20.03       0 500.75    1    0 |    20/1       0/0       0/0       0/0  
Gold Reaper 6|2306.62      4       20   inf   5.01       0 125.19    4    0 |     0/0       0/0       0/0      20/4  
Gold Reaper 5|1847.34      1       20   inf  19.94       0 498.50    0    1 |     0/0      20/1       0/0       0/0  
GoldbotOne_8|1834.00       1       20   inf  19.92       0 498.00    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 6|2039.92      3       20   inf   6.64       0 165.92    0    3 |     0/0       0/0      20/3       0/0  
goldtrade_E|2450.11        1       20   inf  19.88       0 497.00    0    1 |     0/0       0/0       0/0      20/1  
Gold Reaper 7|1784.55      2       20   inf   9.93       0 248.25    0    2 |     0/0      20/2       0/0       0/0  
GoldDaily1|2339.74         1       20   inf  19.82       0 495.50    0    0 |     0/0       0/0       0/0      20/1  
GoldbotOne_8|1890.02       1       20   inf  19.79       0 494.75    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1792.42      2       20   inf   9.89       0 247.25    0    2 |    20/2       0/0       0/0       0/0  
GoldbotOne_8|1811.49       1       20   inf  19.77       0 494.25    0    1 |    20/1       0/0       0/0       0/0  
GoldbotOne_8|1750.68       1       20   inf  19.72       0 493.00    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 7|1934.42      5       20   inf   3.94       0  98.50    5    0 |     0/0       0/0      20/5       0/0  
GoldDaily1|1910.16         1       20   inf  19.69       0 492.25    1    0 |     0/0       0/0      20/1       0/0  
GoldbotOne_8|1754.31       1       20   inf  19.60       0 490.00    0    1 |     0/0      20/1       0/0       0/0  
GoldDaily3|1780.04         1       20   inf  19.52       0 488.00    0    1 |    20/1       0/0       0/0       0/0  
Gold Reaper 6|1963.08      3       19   inf   6.48       0 162.00    0    3 |     0/0       0/0      19/3       0/0  
GoldbotOne_8|1752.19       1       19   inf  19.43       0 485.75    0    1 |     0/0      19/1       0/0       0/0  
GoldDaily3|1760.64         1       19   inf  19.40       0 485.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 6|1955.31      3       19   inf   6.45       0 161.17    0    3 |     0/0       0/0      19/3       0/0  
Gold Reaper 5|2008.30      2       19   inf   9.65       0 241.25    1    1 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|1732.57      2       19   inf   9.62       0 240.38    0    2 |     0/0      19/2       0/0       0/0  
Gold Reaper 5|1845.23      1       19   inf  19.20       0 480.00    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 6|2222.93      2       19   inf   9.60       0 240.00    0    2 |     0/0       0/0       0/0      19/2  
Gold Reaper 7|1844.66      1       19   inf  19.17       0 479.25    0    1 |    19/1       0/0       0/0       0/0  
Gold Reaper 5|1914.10      3       19   inf   6.37       0 159.17    0    3 |     0/0      19/3       0/0       0/0  
