emp_n150_xag.htm — EagleOwl_v1 · XAGUSD.p · 4328 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
XAGUSD H2 AGA06|22.888     1        7   inf   7.38       0 184.50    1    0 |     0/0       7/1       0/0       0/0  
XAGUSD H2 AGA06|22.849     1        7   inf   7.32       0 183.00    1    0 |     7/1       0/0       0/0       0/0  
XAGUSD H2 AGA09|23.141     1        7   inf   7.32       0 183.00    1    0 |     7/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|26.590     1        7   inf   7.27       0 181.75    1    0 |     7/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|24.824     1        7   inf   7.12       0 178.00    1    0 |     7/1       0/0       0/0       0/0  
XAGUSD H2 AGA09|25.165     1        7   inf   7.07       0 176.75    1    0 |     0/0       0/0       7/1       0/0  
XAGUSD H2 AGA06|25.165     1        7   inf   7.07       0 176.75    1    0 |     0/0       0/0       7/1       0/0  
XAGUSD H2 AGA06|23.602     1        7   inf   7.07       0 176.75    1    0 |     0/0       0/0       7/1       0/0  
XAGUSD H2 AGA09|19.934     1        7   inf   7.02       0 175.50    1    0 |     0/0       7/1       0/0       0/0  
XAGUSD H2 AGA06|19.934     1        7   inf   7.02       0 175.50    1    0 |     0/0       7/1       0/0       0/0  
XAGUSD H2 AGA04|21.425     7        7  1.61   1.00      13   0.54    5    1 |     0/0       0/0       7/7       0/0  
XAGUSD H2 AGA06|23.165     1        7   inf   6.97       0 174.25    1    0 |     0/0       0/0       7/1       0/0  
XAGUSD H2 AGA04|30.825     1        7   inf   6.97       0 174.25    1    0 |     0/0       0/0       0/0       7/1  
XAGUSD H2 AGA04|24.283     2        7   inf   3.47       0  86.75    2    0 |     0/0       0/0       7/2       0/0  
XAGUSD H2 AGA09|23.296     1        7   inf   6.77       0 169.25    1    0 |     0/0       0/0       7/1       0/0  
